Audibert Polaris	377 Caribou Rd	Saint John	ME	04743		
Holy Ghost Church	1900 California St	Denver	CO	80202	39.74798	-104.988572
Far West Family Services	325 118th Ave	Bellevue	WA	98005	47.605616	-122.182771
Grant Painting & Decorating	1855 Bristol Dr	Shawondasse	IA	52001	42.502921	-90.70955
Joe's Diner	292 W Us Highway 24	Valley Brook	IN	46992		
Wandas Tax Service	245 East Kettleman Ln	Lodi	CA	95240	38.115823	-121.268714
Northwood Nursery	3974 Mullikin Rd	Evans	GA	30809	33.574236	-82.097356
Jerry Donahue Ins Agcy Inc State Farm Insurance Agent	300 N Keyser Ave	Scranton	PA	18504	41.423272	-75.697871
Bally Gaming Systems	1900 Atlantic Ave	Atlantic City	NJ	08401	39.359581	-74.434339
Elyria Chiropractic & Rehabilitation	230 Market Dr	Elyria	OH	44035		
Pizza Mizza	104 South Hope Ave	Santa Barbara	CA	93105	34.437428	-119.746755
Titley Business Forms	18185 Juniper Ln	Fussville	WI	53051	43.122477	-88.137739
College Park Masonic Lodge	1725 E Virginia Av	Pleasant Hill	GA	30337		
Big Lots	1971 B Galena Blvd	Aurora	IL	60506	41.764468	-88.365883
Pacific Crest Products	P.O. Box 4732	Portland	OR	97208	45.532165	-122.564824
Watson Robert W III MD A Professional	1524 Mchenry Ave, #370	Modesto	CA	95350		
Santa Fe Roast Beef Co	9065 Springfield Rd		OH	44514		
Active Ride Shop	111 Sierra At Tahoe Rd			95735		
A and T Auto Sales	902 Kishwaukee St	Rockford	IL	61104	42.258381	-89.08673
Ml Beer	449 N 6th St	Allentown	PA	18102	40.609035	-75.472704
Lee Ray Tarantino	155 Terminal Ct	Tanforan	CA	94080	37.646085	-122.407282
Blue Poodle Dog Grooming	110 S Story Rd	Irving	TX	75060	32.814043	-96.976495
Forest Manor Apartments	278 S Locust St	O'Neil Corners	OR	97013	45.262031	-122.687138
Peluquerias Mexico	445 E Anaheim St	Wilmington	CA	90744	33.780214	-118.258095
All Seasons Heating and Cooling	400 E Mccanns Blvd	Elmira	NY	14903	42.122184	-76.81418
Board Paradise Skate Park	1010 9th Ave		NC	28601		
Hannen Holdings	97 Gates St	Worcester	MA	01610	42.24708	-71.819178
Blackhawk Engineering	1166 North Tustin St	Orange	CA	92867	33.806971	-117.835696
Kingdom Come State Park Gift Shop	500 Park Rd	Cumberland	KY	40823		
Great A & P Tea Co	4330 48th St	Washington	DC	20016	38.945632	-77.094342
P S Air Conditioning & Heating License No 510455	11552 Sibley St	Norwalk	CA	90650	33.896958	-118.087341
Aguilera Income Tax Service	1571 W 5th St	San Bernardino	CA	92411	34.10835	-117.320916
Wark Donald	9282 E Patrick Dr	Tucson	AZ	85730	32.186026	-110.794075
Blad Denise MD	208 Columbus St	Hicksville	OH	43526	41.299948	-84.755551
Teresas Tortilla Bakery	107 W 14th St	Kramer	NE	68333	40.626159	-96.961574
Hair Movement	65 Finderne Ave	Bridgewater	NJ	08807	40.563973	-74.578151
Florida Career College	1321 Sw 107th Ave	Miami	FL	33174	25.755274	-80.368119
Handyman Renovations	3513 Golf Rd	Turlock	CA	95380	37.460888	-120.830844
Cathay Mortgage Lending Corp	1225 E Colonial Dr	Orlando	FL	32803	28.553151	-81.364023
Tlc Hair Salon	5907 Decatur Rd	Maples	IN	46816	41.030815	-85.125924
Academics Hawaii	402 Koauka Loop	Waimalu	HI	96701	21.385212	-157.937317
Pinnacle Printing	1930 Cumberland Ave	Middlesboro	KY	40965	36.607363	-83.712777
Bob Construction	840 Woodside Rd	Redwood City	CA	94061	37.466004	-122.2243
Integrity Meats	2728 Germantown Ave	Philadelphia	PA	19133	39.993849	-75.147684
Best Value Inn McPherson	2110 E Kansas Ave	Elyria	KS	67460		
Taquera Los Gallos	642 W Davis St	Dallas	TX	75208	32.749454	-96.832415
Butler James B MD	130 Division St		CT	06418		
Antennasys Inc	313 Gage Hill Rd	Pelham	NH	03076	42.7737	-71.352563
Family Dollar Stores	1600 S Olden Ave	White Horse	NJ	08610	40.207223	-74.713034
Welling General Baptist Church	24003 S Welling Rd	Welling	OK	74471	35.827051	-94.886295
Regions Financial Corporation ATM	110 Calella Rd	Hot Springs Village	AR	71909	34.67814	-93.039739
Ballelos Edwin MD	391 Lee Blvd	Lehigh Acres	FL	33936	26.611426	-81.641667
Mobile Audio Video	250 S Riverside Ave	Rialto	CA	92376	34.097292	-117.370468
South Coast Exterminating	400 Virginia Ave, #205	Shorewood	OR	97459	43.454002	-124.21817
Fjerstad John DPM	418 9th St	Crescent City	CA	95531	41.754383	-124.205149
U-Haul	4928 Ogeechee Rd	Savannah	GA	31405	32.043058	-81.186937
Housecall Home Healthcare	2201 Cantu Ct, #205	Sarasota	FL	34232		
Dodge City Cooperative Exchange Ensign Office & Elevator	10884 102 Rd	Dodge City	KS	67801		
Vip Wholesales	1500 S Central Ave	Los Angeles	CA	90021	34.027224	-118.248013
Swiecichowski Mark D	2323 E Capitol Dr	Appleton	WI	54911	44.294467	-88.370471
Tim Hortons Restaurant Inc	223 Maccorkle Ave	Virginia Heights	WV	25177	38.389692	-81.834634
Forum	200 E 75th St	Chicago	IL	60619	41.75832	-87.619925
Kc Felt Construction	20 W 3rd St	Stony Lake	MI	49455		
Goldstein Barry Z Attorney	1700 Galloping Hill Rd	Kenilworth	NJ	07033	40.678878	-74.27089
Beauticontrol Cosmetics Independent Director	270 Oakwood Dr	Gulfport	MS	39507	30.38724	-89.039203
Mr Shred-It	1946 Pioneer Rd	Willow Grove	PA	19090	40.160961	-75.074184
Dena Air	17424 Wyandotte St	Los Angeles	CA	91406	34.203331	-118.512491
Excel Communications	2017 Orchard Ave	Pear Park	CO	81501	39.084599	-108.541712
Indian Wells Golf Club	100 Wood Lake Dr	Garden City	SC	29576	33.59605	-79.01593
Crystal Valet	2184 Crystal Plaza	Arlington	VA	22202	38.859356	-77.049127
Marcius Joseph G DDS	1690 Brittain Rd	Akron	OH	44310	41.108542	-81.466121
Sabine Valley Regional Mh and Mr Center - Substance Abuse Services, Grove Moore	401 N Grove St	Nesbitt	TX	75670	32.547545	-94.371322
Magic Mortgage Co Inc	132 N Massanutten St	Strasburg	VA	22657	38.988864	-78.358756
Economy Transmission	963 Meadow St	Chicopee	MA	01013	42.161087	-72.613727
Original Cookie Co the	1257 Niagara Falls Blvd	North Bailey	NY	14226	42.988688	-78.822655
Franklins Mens Store	5420 E Broadway Blvd, #210	Tucson	AZ	85711		
Latimer Lawson Associates	54 Longmeadow Rd	Taunton	MA	02780	41.905474	-71.076692
Ancient Order of Hibernians	1421 E State St	Olean	NY	14760		
Chrysler Jeep In	1405 Auto Mall Dr	Santa Ana	CA	92705	33.729184	-117.839289
Ortiz Jewelers	556 5th Ave	Park Slope	NY	11215	40.665415	-73.989407
Ultra Specialties and Engineering Inc	1360 Howard St	Elk Grove Village	IL	60007	42.015952	-87.966453
Shirley Hartman Consulting and Design Studio	430 Hanover Ave	Allentown	PA	18109	40.612635	-75.448293
Condor Antique Car Repair and Restoration	684 W Prospect Ave	Fairview	NJ	07022	40.819563	-74.007761
A Greater Grace Fellowship Church of God	1714 Franklin St, #100	Oakland	CA	94612		
Miami Systems	5309 Pine Needle Dr	Columbus	GA	31907	32.504928	-84.902115
Valley Ceramics and Stained Glass	312 Broad St	Waverly	NY	14892	42.00099	-76.541049
A and L Quality Meats and Deli	226 Palm Coast Pkwy	Palm Coast	FL	32137	29.5507	-81.240984
Asi Langaipulotu	258 E 7th Ave	Sun Valley	NV	89433	39.600021	-119.773067
Doggrell Painting	664 Sara Ln	Verona	PA	15147	40.501161	-79.815101
Honey Farms	98 Millbury St	Worcester	MA	01610	42.252734	-71.799121
T-Systems North America	738 Mauney Dr	Columbia	SC	29201	33.957428	-80.991107
Dagle Charles L MD	1721 8th Ave	Fort Dodge	IA	50501		
Delroys Auto Service	1408 W Gwinnett St	Savannah	GA	31415	32.072335	-81.116388
Acs	606 Rollingbrook St	Baytown	TX	77521	29.761314	-94.973272
Tommys Auto Body	1728 Folsom St	San Francisco	CA	94103	37.769259	-122.415612
Poole Vernon & Company	1140 Us Highway 64	Asheboro	NC	27205	35.686555	-79.838654
Consolidated Insurance	23 Motif Blvd	Royalton	IN	46112	39.852376	-86.394364
Paquime	4400 E Amarillo Blvd	Amarillo	TX	79107	35.22194	-101.785372
Mercado Loco	3710 Franklin Blvd	Sacramento	CA	95820	38.540989	-121.475736
Decker Randolph R Chirprtr - Office	1000 N Jesse James Rd	Prathersville	MO	64024	39.35089	-94.235142
Health E Connections	100 Broadhollow Rd	Farmingdale	NY	11735	40.712461	-73.428478
Psychic Palm Readings by Brooke Burke	16152 Sherman Way	Van Nuys	CA	91406	34.20105	-118.484618
Law Office of Cheryl Chapman Henderson	4920 Niagara Rd, #200		MD	20740		
Shenian	532 Foxwood Ln	Paoli	PA	19301	40.036098	-75.474235
Elite Autobody & Paint Works	3909 Wabash Ave	Springfield	IL	62711		
Brownfield Seed & Delinting	2102 Highway 137	Union	TX	79316		
General Nutrition Center	2617 Eastern Ave	Plymouth	WI	53073	43.74712	-87.950044
Sawyer Jessie Mae Lmt	1705 Nw 6th St	Gainesville	FL	32609	29.667608	-82.330911
Martino J D MD	1021 E Broad St	Columbus	OH	43205	39.96534	-82.973615
River Ridge Spine and Rehabilitation Center	4925 E 26th St	Sioux Falls	SD	57110	43.529366	-96.667276
R Q Auto Sales	353 Hamilton Ave	Brooklyn	NY	11201	40.673809	-73.999625
Milwaukee Area Technical College Milwaukee Campus, Child Care Services Administration	700 W State St	Milwaukee	WI	53202	43.043827	-87.903275
James Rosemary and Associates	624 Pirates Aly	New Orleans	LA	70116		
Design Concepts At Princeton	134 Summerhill Ct	New Hope	PA	18938	40.365561	-74.969568
Harbor 1 Boatyard	3307 Ne Marine Dr	Piedmont	OR	97211	45.600455	-122.628371
Celluzzi Alex DO	1000 White Horse Rd	Osage	NJ	08043	39.850128	-74.986563
F Raul Trevino CPA	514 N Ceylon St	Eagle Pass	TX	78852	28.711527	-100.500211
Armstrong Tv Repair	329 National St	Snowdoun	AL	36105	32.339209	-86.312535
Silver Creek Signs	140 E Spruce Ave, #3	Rockford Bay	ID	83814	47.691157	-116.785327
Russells Self Storage	6928 Highway 167	Bernice	LA	71222		
Battlefield Abstract Llc	18 Saratoga Ave	Round Lake	NY	12151	42.939052	-73.793943
Firm Foundation Chiropractic	1415 E Colorado St	Glendale	CA	91205		
Ip Kam W MD Ofc-Res	106 Lee Trevino St	Welcome Valley	TX	76401	32.233649	-98.243892
Spiegel W M Sons Sc	461 E Clinton St	Elmira	NY	14901	42.096098	-76.802361
Valley Wireless Tv	3115 Sillect Ave	Bakersfield	CA	93308	35.386186	-119.041178
Assembly of God Church	417 S Jackson St	Moscow	ID	83843	46.731584	-117.002731
Arizona	5000 Arizona Mills Circle	Tempe	AZ	85282		
McClanahan Loren B Rev	711 S Saginaw St	Flint	MI	48502	43.01396	-83.689023
Locksmith	2358 University Ave	San Diego	CA	92104	32.748446	-117.13941
Michigan State of - State Police, Monroe	300 Jones Ave	Monroe	MI	48161	41.906776	-83.402731
Dynamic Dzign Technologi	375 W Martin St	East Palestine	OH	44413	40.837199	-80.546674
Rapid Rack Industries	14421 Bonelli St	Avocado Heights	CA	91746	34.026733	-117.98798
Pip Printing and Document Services	7017 Albert Pick Rd	Guilford	NC	27409	36.07453	-79.94638
Ricks	201 N Main St	Pleasanton	TX	78064	28.960082	-98.484202
Ambrose J Raymond Jr	801 Freeport Rd	New Kensington	PA	15068	40.57512	-79.75603
River Front Deli and Catering Llc	820 Monroe Ave	Grand Rapids	MI	49503	42.976954	-85.672484
McComb Brian DO	4497 Sheffield Pl	Bay City	MI	48706	43.609338	-83.917733
Providence Baptist Church	5221 Sw West Dr	Topeka	KS	66606		
Joosung Park, D.C	5900 Centreville Rd, #205			20121		
Hair Gallery	227 S State St	Fairmont	MN	56031	43.651854	-94.447386
Natures Cove Pet Shop	10822 Hamburg Rd	Pettysville	MI	48169		
Liberty Lanes	9660 Mill St	Camden	NY	13316	43.341254	-75.761804
Mason Cole V MD	525 Lilly Rd	Olympia	WA	98506	47.053882	-122.844419
Tara Travel Agency	54 Huber Pl	Yonkers	NY	10704	40.920561	-73.860832
Solutions Bridal	6450 Sw Archer Rd	Gainesville	FL	32608	29.603819	-82.411805
West, Vickie	410 W First St	Point Isabel	IN	46928		
Women and Wellness	6707 Powers Blvd, #104	Parma	OH	44129		
Service Distributing	3912 Western Blvd	Raleigh	NC	27606	35.784574	-78.690404
Maderak J A Construction	220 S 74th St	Kansas City	KS	66111	39.094481	-94.751174
Eaves Jeff Attorney At Law	900 8th St, #400	Wichita Falls	TX	76301		
RadioShack	2539 John Milton Dr	Herndon	VA	20171	38.928028	-77.376061
Alijor Llc	1086 Madison St	Santa Clara	CA	95050	37.348901	-121.949727
J B Warehouse	30 Mall Dr	Jersey City	NJ	07310	40.72985	-74.039394
Bakery Lemus	3813 English Ave	Shore Acres	IN	46201	39.760041	-86.101565
Alternate Solutions	401 Gooding St	Twin Falls	ID	83301	42.558817	-114.468529
Cusick, Stephen L	140 Main St	Montpelier	VT	05601	44.465311	-72.684938
Tire Shop Felix Elizalde	2338 Navigation Blvd	Houston	TX	77003	29.758832	-95.346827
Sm Retail	1415 E Sunrise Blvd	Fort Lauderdale	FL	33304	26.137177	-80.129531
Triad Restorations Inc	119 Griffith Plaza Dr	Muddy Creek	NC	27103	36.040768	-80.311695
Mbf Architects	400 West Morgan St, #202		NC	27603		
Depue Perry M Ins	1101 Prof Dr, #101	York Terrace	VA	23185		
Luxury Nails	100 Wolfe Nursery Rd	Stephenville	TX	76401		
Circulation Sales	1467 Atlantic Blvd	Neptune Beach	FL	32266	30.324274	-81.428946
Heller Maurice L Atty	22400 Canterbury Ln	Woodmere	OH	44122	41.472346	-81.520477
Palmer Shutters	10831 Train Ct	Houston	TX	77041	29.84657	-95.567785
Samanthas Dance Studio	6101 W Bellfort St	Houston	TX	77035	29.657114	-95.498105
Comfort Mechanical Inc	921 Evans Ave	East Akron	OH	44305	41.095002	-81.483424
City Park Nine Pro Shop and Snack Bar	411 S Bryan Ave	Poudre Park	CO	80521	40.583001	-105.106565
Locksmith 1 & 24 by 7	11450 Sharp Ave	Mission Hills	CA	91345	34.277954	-118.45723
Family Bookstore Llc	113 W Main St	Washington	MO	63090	38.559912	-91.011579
Black Harold A DDS	1700 E 56th St	Chicago	IL	60637	41.793419	-87.583908
Comic Ink	4267 Overland Ave	Culver City	CA	90230	34.011701	-118.400504
Micro Technology of Brevard	255 West Dr	Melbourne	FL	32904		
Broussards Taxidermy	4638 Highway 27	Sulphur	LA	70665		
Thompsons Strawberry Farm	8050 Lorel Ave	Skokie	IL	60077	42.027293	-87.7609
Tri-Boro Public Safety Sytem	1 Memorial Dr	Montvale	NJ	07645	40.874883	-74.087756
RadioShack	179 E Kennedy Blvd	Southard	NJ	08701	40.106689	-74.21586
Chartrand Art J Atty	12730 S Pflumm Rd	Olathe	KS	66062	38.897498	-94.742351
Michiana Mobile Lube	52139 Del Rue Dr	Elkhart	IN	46514	41.737211	-86.012329
Tin Caps	1301 Ewing St	Fort Wayne	IN	14362	41.074238	-85.14362
Gulf Coast Engine Division	4202 Russell Dr	Corpus Christi	TX	78408	27.788028	-97.439859
Sastreria Express	439 52nd St	West New york	NJ	07093	40.783435	-74.018521
Dayl Spruce	500 N Capital Of Tx Hwy	West Lake Hills	TX	78746		
40th Street Grocery	1200 40th St	Ensley	AL	35218		
A-Ames Plumbing Heating & Air Westminster	301 S Magnolia Ave	Anaheim	CA	92804	33.828579	-117.975944
Certified Home Inspection	2402 Elliott Ave	Arlington	TX	76001	32.594066	-97.100116
Ridgestone Apartments	1723 N Union Rd	Spokane Valley	WA	99206	47.672686	-117.244362
Signature Health Services	777 Laver Rd	East Mansfield	OH	44905		
Choong Hyun Church	9709 Long Point Rd	Houston	TX	77055	29.795891	-95.530847
Tomlin Stables	7504 S Walnut St	Muncie	IN	47302	40.12571	-85.3746
Ryder Truck Rental and Leasing	2001 Eagle Rd	Normal	IL	61761	40.542224	-88.993884
Truck Center	201 N Harlem Ave	Norton Acres	SD	57104	43.54925	-96.763615
West Scio Grocery	38152 Jefferson Scio Dr	Scio	OR	97374	44.711444	-122.880726
Polaris Industries	2604 16 St	Spirit Lake	IA	51360		
C & S Tires	4547 Telephone Rd	Ventura	CA	93003	34.262896	-119.229464
Flour Power Bake Shop	1653 State Highway 99	Gridley	CA	95948	39.366502	-121.687919
Ponderosa Machine	333 Edgewood Dr	Kalispell	MT	59901	48.225985	-114.266114
Pro Barber Shop	3840 W Lawrence Ave	Chicago	IL	60625	41.968279	-87.724518
Chapin Donald W	5321 Gateway Blvd	Flint	MI	48507	42.945902	-83.720344
G T Electric	6211 Cedar Ave	Cleveland	OH	44103	41.500544	-81.647357
Icr Security Services	10 Fairway Dr	Shorewood	FL	33441	26.318585	-80.110645
Wilson Glenn	9550 Skillman St	Dallas	TX	75243	32.907401	-96.709273
Heritage Wood Craft	586 Staton Rd	Cleveland	GA	30528		
Rousseau Painting & Decorating	P.O. Box 1088	Centerville	MA	02632	41.796311	-70.175129
Double Vision Interactive Inc	1348 N Sierra Bonita Ave	Los Angeles	CA	90046	34.095261	-118.353911
ABC Always Buying Furniture	312 Moore Ln	Billings	MT	59101	45.763766	-108.542207
Golden & Cowden Plumbing & Heating	1037 Stanwood St	Rhawnhurst	PA	19111	40.07277	-75.072559
Chicago Park District Parks & Playgrounds, Hiawatha, Senior Citizens Program	3145 N Sheffield Ave	Chicago	IL	60657	41.939157	-87.654078
Elaine Yesko Hairstylist	2010 Mcculloch Blvd		AZ	86403		
Eft Inc	900 Orthodox St	Frankford	PA	19124	40.019604	-75.095897
University of Louisiana At Lafaytte 104 Unvrsty Cr - Library Edith Garland Dupre, Director	104 Univ Cir	Lafayette	LA	70501		
A Cut Apart	118 N Church St	Oak Harbor	OH	43449	41.508042	-83.147442
Hays Bros. Moving	3575 N Belt Line Rd	Irving	TX	99224	32.854402	-96.99224
Septemberfest	1705 West Missouri Ave	Midland	TX	79701	31.993906	-102.09208
Republic Properties	2 International Pl	Boston	MA	02110	42.356697	-71.05139
City of Medford	639 South 2nd St	Whittlesey	WI	54451		
Santa Teresa De Jesus	8390 Sw 43 Terrace		FL	33155		
Harrison Walter L Pediatrician	34 Lynnfield St	East Lynn	MA	01904	42.48584	-70.962186
Comfort Keepers	485 S Military Rd, #1	Fond Du Lac	WI	54935		
Speedy Rooter	750 Medford Dr	Carol Stream	IL	60188	41.9125	-88.145525
De Paul's Paint & Body	362 Lancaster Ave	Frazer	PA	19355		
Elbaum Jack DDS	203 Elm St	Westfield	NJ	07090	40.653193	-74.350874
Savoy Manor	1253 Jerome Ave	University Heights	NY	10452	40.836959	-73.921336
Suffolk County Municipal Employee	30 Orville Dr	Bohemia	NY	11716	40.781225	-73.102362
Rms Jewelers	508 N Main St	Spearfish	SD	57783	44.491077	-103.859291
Broadwater, Mary J	P.O. Box 1486	Columbia	SC	29202	33.962455	-80.979652
El Zarape Grill	1601 South Mountain Ave	Monrovia	CA	91016	34.135016	-117.986324
StoryQuilts.com,Inc	9340 Sw Beaverton Hillsdale Hwy	Reedville	OR	97005	45.486464	-122.772581
Cbi	18821 Delaware St, #208	Huntington Beach	CA	92648		
Touches of Class	219 Denrock Ave	Dalhart	TX	79022	36.05092	-102.51543
Auto Radiator Outlet	532 Beaver St	Sewickley	PA	15143	40.539992	-80.180101
Roman Cusco Wedding and Party Specialist	8525 Sw 42nd St	Coral Way Village	FL	33155	25.730545	-80.33383
Tax Collector's Office	18500 Murdock Circle		FL	33948		
Trung To	5504 84th St	Elmhurst	NY	11373		
Zeno & Zeno	7319 Milliken Ave	Rancho Cucamonga	CA	91730	34.121093	-117.558509
About Employment	19011 W Valley Hwy		WA	98032		
First Union	303 Banyan Blvd	West Palm beach	FL	33401	26.714341	-80.051888
Cintas Document Management	3403 Orient Rd	Tampa	FL	33619	27.974683	-82.373031
Accelerated Rehabilitation Ctr	721 Roosevelt Rd	Villa Park	IL	60181	41.86434	-87.841012
Hamptons At Pine Bend	1030 Montlimar Dr	Mobile	AL	36609	30.664002	-88.133221
Bamosa Communication	170 Union St	Lynn	MA	01901	42.464639	-70.943488
New Harvest Christian Fellowship	32150 Candlewood Dr	Cathedral City	CA	92234	33.814955	-116.473413
Preferred Therapy Services	4100 S Medford Dr	Woodlawn	TX	75901	31.313313	-94.718468
Scissors & Sudz Mobile Pet Grooming	P.O. Box 3252	Culver City	CA	90231	33.786594	-118.298662
Clifton and Associates Lwyrs	128 Dorrance St	Providence	RI	02903	41.822304	-71.410004
Anne MacKie Consulting	1351 Humboldt St	Bellingham	WA	98225	48.745873	-122.467786
Pillar the Red Decorative Arts	6 Davis Ave	Brookline	MA	02445	42.332836	-71.11889
Cadenhead Title Insurance	300 E Seminole Ave	Seminole	OK	74868	35.227472	-96.6685
Level-3 Communication	5130 Service Center Dr	San Antonio	TX	78218	29.475731	-98.391472
Jo-Ann Fabrics and Crafts	5251 Delhi Ave	Delhi Hills	OH	45238	39.094173	-84.616747
Palkon Law Office	22 Concord St, #2	Nashua	NH	03064		
Physician Anesthesia Service	1200 E Michigan Ave, #370	Lansing	MI	48912		
Quality Healthcare Clinic-Wauneta	84 E Wichita St	Wauneta	NE	69045	40.41833	-101.368738
Butlers Aquarium Maintenance Serv	720 Surrey Dr	Streamwood	IL	60107	42.013734	-88.166323
Anthony Interiors	5177 Churchward St	San Diego	CA	92114	32.704085	-117.083665
Custom Home Loans of California	42156 10th St	Lancaster	CA	93534	34.647994	-118.147657
General Security Systems	600 Reisterstown Rd	Wellwood	MD	21208	39.368809	-76.717661
Amsouth Bank - ATM	601 Fesslers Ln	Nashville	TN	37210	36.144662	-86.744042
Stairway To Weight Loss	5731 Lodi St	San Diego	CA	92117	32.843819	-117.206251
Shogun	3310 Central Ave	Albuquerque	NM	87106	35.080278	-106.608184
Changes Hair Design	4701 Westbank Expressway, #5	Estelle	LA	70072		
Rapid Creek Cutters	476 Rapid Creek Rd	Inkom	ID	83245	42.798325	-112.25099
Rother Bros	120 Waldon Blvd	Orion	OK	73737	36.285201	-98.479924
Vette Gary	1625 W Elizabeth St	Fort Collins	CO	80521	40.574627	-105.106318
Kornitsky Marc D Atty	1 Essex Green Dr	Peabody	MA	01960	42.538919	-70.949216
Lifsey Ben J Jr DVM	400 Law Community Rd	Jackson	TN	38301		
B T North America	636 11th Ave	New York	NY	10036	40.763688	-73.996284
A M Cleaners	12938 Cypress North Houston Rd	Cypress	TX	77429	29.947492	-95.614615
Penske Truck Rental Bakersfield-Southwest	2929 E Brundage Ln	Bakersfield	CA	93301	35.354099	-118.964593
Stacys Carpet Outlet	145 Wilson Ave	Winner	TN	37643		
the Wyoming Centrum For Assistive Technology	125 College Dr	Richardson Acres	WY	82601	42.834089	-106.323579
Flynn, Palmer & Tague	402 W Church St	Champaign	IL	61820	40.118252	-88.248509
Netspace of Greater Kansas City	8009 Nw Venita St	Kansas City	MO	64152	39.239532	-94.696444
Dominguez Winifred H Atty	8207 Callaghan Rd	Balcones Heights	TX	78230	29.514091	-98.549628
Am Multigraphics	8450 Hickman Rd	Clive	IA	50325	41.614819	-93.733448
Lucas- Mark S. Attorney	300 East 90th Dr			46410		
Harvey Seed Service	729 W Main St	Carson City	MI	48811	43.177139	-84.854089
Golftec	4656 Millenia Plaza Way	Orlando	FL	32839	28.493556	-81.428051
Bellevue Health Clinic	1611 116th Ave	Yarrow Point	WA	98004	47.62535	-122.185672
Caldwell Locksmith Service Llc	1423 Lower Creek Dr	Lenoir	NC	28645	35.929076	-81.499698
Charles L Hirsch	1306 Carriage Ln	Garland	TX	75043	32.874488	-96.609101
Sports Gallery	922 San Leandro Ave	Mountain View	CA	94043		
R & R Landscaping	529 Henn Hyde Rd	Warren	OH	44484		
Judada	1800 E Sahara Ave	Las Vegas	NV	89104	36.144355	-115.125491
Shinn Bob Real Estate	107 Mckinney St	Farmersville	TX	75442	33.163163	-96.360057
Karens Kitchen	716 W Foster Ave	Laketon	TX	79065	35.53283	-100.967776
Ritchey	8005 Charlecot Dr	Augusta	IN	46268	39.899737	-86.211435
Walgreens	3232 Foothill Blvd	Oakland	CA	94601	37.783532	-122.222142
Wentling Kerry DMD	22 S Railroad St	Myerstown	PA	17067		
Ted Lansing Corporation	710 Dearborn Park Ln	Riverlea	OH	43085	40.116333	-83.00034
